icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,departure_airport_icao,arrival_airport_icao,departure_airport_name,arrival_airport_name,departure_city,arrival_city,departure_lat,departure_lon,arrival_lat,arrival_lon,airline,route_confidence,route_distance_km,anomaly
4cade4,RYR314Q,Ireland,1753811174,1753811175,13.8032,45.5442,11277.6,False,248.93,192.17,0.0,,11628.12,1000,False,0,EGKK,EDDF,London Gatwick,Frankfurt Airport,London,Frankfurt,51.1481,-0.1903,50.0379,8.5622,Ryanair,high,979.31193108891,0
4cadf7,RYR2XL,Ireland,1753811175,1753811175,5.4543,50.7127,11277.6,False,250.42,104.15,0.0,,11605.26,0567,False,0,EIDW,EKCH,Dublin Airport,Copenhagen Airport,Dublin,Copenhagen,53.4213,-6.27,55.6181,12.6561,Ryanair,high,2114.9015915298396,0
4bd18a,SXS1SV,Turkey,1753811175,1753811175,12.4038,46.0818,11277.6,False,255.7,142.44,0.0,,11620.5,1160,False,0,EDDM,LIMC,Munich Airport,Milan Malpensa,Munich,Milan,48.3538,11.7861,45.6306,8.7281,Unknown,medium,454.5200241782972,0
407573,EZY19ZG,United Kingdom,1753811174,1753811174,5.5116,46.7918,7269.48,False,197.89,305.8,8.13,,7581.9,5713,False,0,EGKK,LSZH,London Gatwick,Zurich Airport,London,Zurich,51.1481,-0.1903,47.4647,8.5492,easyJet,high,1052.7242329665498,0
4cae15,ITY453,Ireland,1753811175,1753811175,11.6918,48.0011,4373.88,False,168.8,218.44,11.7,,4526.28,1000,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
300796,HEMS04,Italy,1753811163,1753811171,13.5993,45.1941,609.6,False,34.75,334.57,0.0,,685.8,0014,False,0,EDDM,LIRF,Munich Airport,Rome Fiumicino,Munich,Rome,48.3538,11.7861,41.8003,12.2389,Unknown,medium,729.1727636842245,0
4cae56,RYR8PM,Ireland,1753811175,1753811175,11.6621,46.4396,11277.6,False,257.55,135.0,-0.33,,11643.36,0530,False,0,EGKK,LFPG,London Gatwick,Paris Charles de Gaulle,London,Paris,51.1481,-0.1903,49.0097,2.5479,Ryanair,high,385.6430397528261,0
4d22b0,RYR22GK,Malta,1753811174,1753811174,13.8871,45.0765,9296.4,False,198.28,315.95,7.48,,9585.96,1000,False,0,EGKK,EKCH,London Gatwick,Copenhagen Airport,London,Copenhagen,51.1481,-0.1903,55.6181,12.6561,Ryanair,high,1509.807673897626,0
4d22a3,CXI57VF,Malta,1753811175,1753811175,13.2795,46.6828,10972.8,False,201.16,315.1,0.33,,11292.84,5522,False,0,EDDM,LOWW,Munich Airport,Vienna Airport,Munich,Vienna,48.3538,11.7861,48.1103,16.5697,Unknown,medium,531.6670719805866,0
300782,DLA3CK,Italy,1753811174,1753811174,11.8297,47.0222,8839.2,False,242.14,189.66,-0.33,,9121.14,1000,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
300780,DLA9MX,Italy,1753811175,1753811175,9.2456,49.8212,2682.24,False,155.03,301.84,-8.78,,2796.54,1000,False,0,EDDF,LSZH,Frankfurt Airport,Zurich Airport,Frankfurt,Zurich,50.0379,8.5622,47.4647,8.5492,Unknown,medium,285.6288450490251,0
4d22af,RYR937Z,Malta,1753811175,1753811175,13.9429,50.8449,10668.0,False,251.83,121.81,-0.33,,10896.6,1000,False,0,EGKK,EDDM,London Gatwick,Munich Airport,London,Munich,51.1481,-0.1903,48.3538,11.7861,Ryanair,high,1365.0846134556823,0
4cae68,RYR48ZT,Ireland,1753811175,1753811175,12.6457,45.4907,10584.18,False,248.92,93.44,4.55,,10934.7,0405,False,0,EIDW,LIRF,Dublin Airport,Rome Fiumicino,Dublin,Rome,53.4213,-6.27,41.8003,12.2389,Ryanair,high,2425.869435070117,0
4d22b7,RYR451A,Malta,1753811175,1753811175,7.1868,45.8107,10972.8,False,247.45,24.7,0.0,,11391.9,5504,False,0,EGKK,EHAM,London Gatwick,Amsterdam Schiphol,London,Amsterdam,51.1481,-0.1903,52.3105,4.7683,Ryanair,high,565.3256013998657,0
4d22b8,RYR38WF,Malta,1753811174,1753811174,10.4747,49.2771,4884.42,False,188.89,228.98,14.96,,5044.44,6664,False,0,EGKK,LEMD,London Gatwick,Madrid Barajas,London,Madrid,51.1481,-0.1903,40.4983,-3.5676,Ryanair,high,1240.1457071090194,0
4cae6a,RYR9JC,Ireland,1753811174,1753811174,14.8699,45.1762,10972.8,False,229.96,359.74,0.0,,11300.46,0203,False,0,EGKK,LFPG,London Gatwick,Paris Charles de Gaulle,London,Paris,51.1481,-0.1903,49.0097,2.5479,Ryanair,high,385.6430397528261,0
4cae8f,RYR913,Ireland,1753811174,1753811175,9.2482,53.0076,1760.22,False,119.93,9.38,-8.78,,1836.42,1000,False,0,EGKK,EIDW,London Gatwick,Dublin Airport,London,Dublin,51.1481,-0.1903,53.4213,-6.27,Ryanair,high,720.4762834791511,0
300702,IBKUP,Italy,1753811165,1753811166,10.2515,45.5564,594.36,False,45.13,43.15,5.2,,647.7,,False,0,LIMC,LSZH,Milan Malpensa,Zurich Airport,Milan,Zurich,45.6306,8.7281,47.4647,8.5492,Unknown,medium,204.5512872959248,0
3ff471,DMSOS,Germany,1753811174,1753811175,9.1401,48.6121,815.34,False,53.61,206.81,-0.33,,853.44,7000,False,0,LSZH,EDDF,Zurich Airport,Frankfurt Airport,Zurich,Frankfurt,47.4647,8.5492,50.0379,8.5622,Unknown,medium,285.6288450490251,0
