icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,departure_airport_icao,arrival_airport_icao,departure_airport_name,arrival_airport_name,departure_city,arrival_city,departure_lat,departure_lon,arrival_lat,arrival_lon,airline,route_confidence,route_distance_km,anomaly
39cead,TVF56WJ,France,1753810462,1753810463,6.2225,46.622,11582.4,False,218.42,299.64,0.0,,11986.26,1000.0,False,0,LSZH,LIMC,Zurich Airport,Milan Malpensa,Zurich,Milan,47.4647,8.5492,45.6306,8.7281,Unknown,medium,204.5512872959248,0
3d165e,DEGSK,Germany,1753810463,1753810463,9.0633,49.7467,883.92,False,77.8,324.42,0.0,,975.36,4450.0,False,0,EDDF,LSZH,Frankfurt Airport,Zurich Airport,Frankfurt,Zurich,50.0379,8.5622,47.4647,8.5492,Unknown,medium,285.6288450490251,0
407e60,EZY8571,United Kingdom,1753810463,1753810463,9.2439,49.4097,10675.62,False,257.85,119.79,0.0,,10988.04,4644.0,False,0,EGKK,LEMD,London Gatwick,Madrid Barajas,London,Madrid,51.1481,-0.1903,40.4983,-3.5676,easyJet,high,1240.1457071090194,0
406b12,TOM273,United Kingdom,1753810463,1753810463,7.8175,47.6005,13098.78,False,238.91,280.92,0.33,,13548.36,6610.0,False,0,LSZH,LIMC,Zurich Airport,Milan Malpensa,Zurich,Milan,47.4647,8.5492,45.6306,8.7281,Unknown,medium,204.5512872959248,0
44064a,EJU98GD,Austria,1753810462,1753810463,8.5805,45.6649,11574.78,False,212.92,316.86,0.0,,11986.26,1000.0,False,0,EGKK,EKCH,London Gatwick,Copenhagen Airport,London,Copenhagen,51.1481,-0.1903,55.6181,12.6561,easyJet Europe,high,1509.807673897626,0
440668,AUA407B,Austria,1753810462,1753810462,10.863,46.3502,10668.0,False,225.49,247.18,0.0,,11041.38,1000.0,False,0,EDDM,LIMC,Munich Airport,Milan Malpensa,Munich,Milan,48.3538,11.7861,45.6306,8.7281,Unknown,medium,454.5200241782972,0
440611,EJU94UD,Austria,1753810463,1753810463,5.8096,49.8327,10980.42,False,218.44,323.43,-0.33,,11308.08,1000.0,False,0,EGGW,LFPG,London Luton,Paris Charles de Gaulle,London,Paris,51.8747,-0.3683,49.0097,2.5479,easyJet Europe,high,453.777550026706,0
48c1bb,RYR4XG,Poland,1753810463,1753810463,5.6279,45.4669,9243.06,False,205.67,215.12,-5.2,,9631.68,1000.0,False,0,EGKK,LSZH,London Gatwick,Zurich Airport,London,Zurich,51.1481,-0.1903,47.4647,8.5492,Ryanair,high,1052.7242329665498,0
3d167a,DEGTM,Germany,1753810462,1753810462,9.4296,48.158,1722.12,False,70.21,98.43,-1.63,,1836.42,7000.0,False,0,LSZH,EDDF,Zurich Airport,Frankfurt Airport,Zurich,Frankfurt,47.4647,8.5492,50.0379,8.5622,Unknown,medium,285.6288450490251,0
440608,AUA21LA,Austria,1753810463,1753810463,9.527,50.2784,3002.28,False,141.66,246.23,-4.55,,3147.06,1000.0,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
440604,AUA155,Austria,1753810463,1753810463,7.5357,51.425,3063.24,False,138.78,298.08,-7.48,,3185.16,1000.0,False,0,EDDF,EHAM,Frankfurt Airport,Amsterdam Schiphol,Frankfurt,Amsterdam,50.0379,8.5622,52.3105,4.7683,Unknown,medium,490.8960156472752,0
48c1a6,RYR88BF,Poland,1753810463,1753810463,12.5557,53.7247,11582.4,False,229.59,256.52,0.0,,11780.52,3551.0,False,0,EGKK,EDDF,London Gatwick,Frankfurt Airport,London,Frankfurt,51.1481,-0.1903,50.0379,8.5622,Ryanair,high,979.31193108891,0
48c1a2,RYR7987,Poland,1753810462,1753810462,7.6836,49.8112,9662.16,False,221.57,288.27,-6.83,,9966.96,1000.0,False,0,EIDW,EHAM,Dublin Airport,Amsterdam Schiphol,Dublin,Amsterdam,53.4213,-6.27,52.3105,4.7683,Ryanair,high,1231.4395406324786,0
47a1a0,LNOYI,Norway,1753810405,1753810449,6.5719,50.0507,586.74,False,61.72,39.93,0.0,,670.56,,False,0,EDDF,EHAM,Frankfurt Airport,Amsterdam Schiphol,Frankfurt,Amsterdam,50.0379,8.5622,52.3105,4.7683,Unknown,medium,490.8960156472752,0
45aa53,NOZ6JS,Denmark,1753810463,1753810463,11.729,47.7743,11277.6,False,257.27,176.22,0.0,,11628.12,741.0,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
503d71,CFG9HY,Lithuania,1753810463,1753810463,8.3867,47.4714,10363.2,False,237.39,21.62,0.0,,10728.96,1000.0,False,0,LSZH,LIMC,Zurich Airport,Milan Malpensa,Zurich,Milan,47.4647,8.5492,45.6306,8.7281,Unknown,medium,204.5512872959248,0
407caf,RUK75SY,United Kingdom,1753810463,1753810463,10.6202,47.7845,11277.6,False,248.99,129.21,0.33,,11628.12,4717.0,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
