icao24,callsign,longitude,latitude,baro_altitude,velocity,heading,vertical_rate,origin,destination,departure_airport_name,arrival_airport_name,airline,route_confidence,route_source,anomaly
3c6663,DLH5UV,8.6831,50.0676,518.16,75.2,249.58,-2.93,FRA,JFK,Frankfurt Airport,New York JFK,Lufthansa,high,pattern_based,0
3c666a,DLH1686,20.3217,47.1594,3489.96,131.18,257.54,-5.2,FRA,LHR,Frankfurt Airport,London Heathrow,Lufthansa,high,pattern_based,0
4952a5,TAP292,-7.9552,39.4326,9738.36,237.66,333.66,-12.68,LIS,LHR,Lisbon Airport,London Heathrow,TAP Air Portugal,high,pattern_based,0
48cb15,TVS4WY,27.8533,36.3394,1729.74,149.73,281.7,4.88,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,none,0
3c6671,DLH55K,6.1516,45.9082,10675.62,264.57,197.31,0.0,FRA,JFK,Frankfurt Airport,New York JFK,Lufthansa,high,pattern_based,0
3c6676,DLH37Y,7.335,46.7844,10347.96,231.01,37.76,0.33,FRA,JFK,Frankfurt Airport,New York JFK,Lufthansa,high,pattern_based,0
3c6674,DLH824,11.9541,54.5846,6423.66,196.75,31.53,-9.43,FRA,VIE,Frankfurt Airport,Vienna Airport,Lufthansa,high,pattern_based,0
471efa,WMT7AE,3.8144,51.8679,10081.26,220.1,284.07,-4.88,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,none,0
471efb,WMT114,8.0584,47.7137,5044.44,197.68,98.53,9.75,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,none,0
40812e,EZY51WA,-0.4902,50.5672,11887.2,275.19,154.3,0.0,LGW,JFK,LGW,New York JFK,easyJet,high,pattern_based,0
3c666f,DLH3FN,8.5503,50.0388,0.0,6.17,160.31,0.0,FRA,JFK,Frankfurt Airport,New York JFK,Lufthansa,high,pattern_based,0
801666,AIC101,15.1964,52.1801,11582.4,265.01,311.3,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,none,0
40812d,EZY21EA,-5.9596,43.9446,10660.38,234.07,203.58,0.0,LGW,JFK,LGW,New York JFK,easyJet,high,pattern_based,0
51118a,MBU6238,20.0551,40.8973,10668.0,236.74,153.27,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,none,0
44029f,AUA223,13.5112,52.3556,68.58,62.86,248.9,-0.33,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,none,0
408134,BAW891,19.8737,45.1857,10972.8,238.44,312.81,0.0,LHR,VIE,London Heathrow,Vienna Airport,British Airways,high,pattern_based,0
3455da,VOE2801,2.3619,39.575,4328.16,161.24,313.06,14.63,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,none,0
4acb41,SAS7761,19.6478,46.8055,11894.82,225.48,154.02,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,none,0
4acb44,SAS4703,6.8217,51.2364,11582.4,244.79,192.25,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,none,0
3c65a8,DLH481,1.7861,52.808,12192.0,270.16,111.68,-0.33,FRA,LHR,Frankfurt Airport,London Heathrow,Lufthansa,high,pattern_based,0
4b187c,SWR23A,4.259,46.909,7292.34,224.47,110.39,-6.83,ZUR,JFK,Zurich Airport,New York JFK,Swiss International,high,pattern_based,0
aae1ea,AAL204,4.7609,52.2982,0.0,31.38,56.25,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,none,0
4b1885,SWR15X,-5.6937,51.5501,12192.0,261.71,101.22,0.0,ZUR,JFK,Zurich Airport,New York JFK,Swiss International,high,pattern_based,0
3c65c3,DLH9H,7.4268,50.1311,4617.72,187.62,112.06,-7.48,FRA,JFK,Frankfurt Airport,New York JFK,Lufthansa,high,pattern_based,0
3c65c2,DLH06U,7.5443,47.5118,10660.38,232.64,198.84,0.0,FRA,JFK,Frankfurt Airport,New York JFK,Lufthansa,high,pattern_based,0
3c65c1,DLH25E,8.5414,50.0391,0.0,3.34,250.31,0.0,FRA,JFK,Frankfurt Airport,New York JFK,Lufthansa,high,pattern_based,0
